Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Agropyron cristatum,167.75,15.25,111.902,0.429,2.829,0.388,Agropyron cristatum,original_Diaz,herb,GIFT
Agropyron desertorum,290,23.15,112.36,0.387,2.1044,0.376,Agropyron desertorum,original_Diaz,herb,GIFT
Agrostemma githago,999.75,23.065,56.402,0.745,13.7424,0.201,Agrostemma githago,original_Diaz,herb,GIFT
Agrostis canina,81.07,23.27,35.604,0.264,0.0578,0.239,Agrostis canina,original_Diaz,herb,GIFT
Agrostis capillaris,167.15,22.561,35.547,0.267,0.0593,0.239,Agrostis capillaris,original_Diaz,herb,GIFT
Agrostis hyemalis,79.06,17.131,78.628,0.695,0.0489,0.309,Agrostis hyemalis,original_Diaz,herb,GIFT
Agrostis scabra,90,11.136,102.215,0.76,0.0573,0.434,Agrostis scabra,original_Diaz,herb,GIFT
Agrostis stolonifera,234.16,29.166,31.666,0.365,0.0403,0.241,Agrostis stolonifera,original_Diaz,herb,GIFT
Agrostis vinealis,96.47,27.393,48.177,0.188,0.0432,0.294,Agrostis vinealis,original_Diaz,herb,GIFT
Aira caryophyllea,12.87,27.395,62.945,0.144,0.1224,0.212,Aira caryophyllea,original_Diaz,herb,GIFT
Ajuga chamaepitys,70.5,18.539,44.484,0.098,1.4685,0.174,Ajuga chamaepitys,original_Diaz,herb,GIFT
Alangium chinense,10842.62,25.722,36.01,14.697,52.08,0.386,Alangium chinense,original_Diaz,tree,GIFT
Albizia adianthifolia,144.82,31.19,96.154,6.694,67.56,0.502,Albizia adianthifolia,original_Diaz,tree,GIFT
Albizia niopoides,12.82,28.64,110.619,40,24.4949,0.59,Albizia niopoides,original_Diaz,tree,GIFT
Albizia saman,675,31.169,149.11,34.4,176.599,0.499,Samanea saman,original_Diaz,tree,GIFT
Alchemilla glaucescens,1523.04,17.8,55.402,0.161,0.4655,0.245,Alchemilla glaucescens,original_Diaz,herb,GIFT
Alchemilla monticola,2594.75,25.1,56.051,0.156,0.4387,0.163,Alchemilla monticola,original_Diaz,herb,GIFT
